,count
3567807957,5437
42434845,6607
42445702,5079
42453038,4708
42448162,3576
42452816,3482
42429832,3184
42430557,3365
42439275,22273
42439826,20843
42435598,19453
42436396,5064
42436400,4145
42436404,4268
42436407,4427
42436411,4736
6211334202,10775
42435578,5840
42435581,7553
6518638079,6394
4492821528,6440
42431497,6488
42429388,9488
42432214,26412
42435596,38079
42435603,21179
42429662,19139
42435610,20266
42427381,19951
5849918502,20929
42434271,19968
42424439,9146
4597668041,23644
8133385388,10654
42449971,11795
42423885,7683
427804211,170
42443326,5671
42440397,9185
42438498,3267
42453613,2144
592509222,1543
1919595922,2632
3783071112,1918
3783071109,1162
42440401,2759
42447435,1843
42451604,1640
9166033062,5641
4478001045,4325
42443513,12430
42453601,6766
42437339,7366
42455867,8243
42453166,6636
42444827,8057
42434205,9343
4012724171,9352
42449021,9101
42446547,15139
42436943,15216
42440743,18480
42431470,14727
42439323,15099
561042188,7383
42436126,1271
42452006,2468
42454642,1947
42456986,1932
42440527,2992
12162542907,11105
4142073861,10941
246889572,10939
246890279,10501
12410398108,9644
12410398107,10100
246858448,11011
246858449,9450
42452814,2655
42444506,2263
42434179,2066
4779073679,11367
42449010,5974
42444812,4691
42444814,2568
42435509,3221
42442480,7696
1061531603,5621
42428674,6903
42431037,5133
42441564,732
42434161,530
42446889,14454
42437289,15375
42455887,14670
42439181,15896
42451787,14867
387184869,14735
5812723035,1857
42436330,2008
42436333,2355
42436335,3225
42453059,1583
42430115,3541
4143851144,3944
42428420,5367
42446701,17990
42428220,2549
42435702,19457
42435707,14473
42435710,14341
42440960,6380
42424698,11038
587934347,11037
595352915,7415
60928432,7411
60927650,3436
7911307251,2507
60916849,2508
60916829,2492
595729853,2477
374482644,2475
374472690,2475
42441000,2534
42441007,2437
42441009,2420
595729838,1843
42429215,1649
42429216,1095
42429217,1048
42429220,965
42453349,95
42428223,2777
42445888,4773
42428272,986
42442983,5782
5550244687,4736
42431659,4903
42429981,5142
42442963,5529
42436527,6794
6176483595,4325
3785585954,3696
1775176473,3711
42442961,4827
42443344,4677
42443341,4415
42432558,4426
42437384,4800
42443332,5068
42443329,5093
4557495130,5317
3718672443,6716
9170816532,6311
13208007103,13295
42428588,11305
42443313,4399
1241742563,5311
42421974,4755
1241742627,5968
42440934,5442
3639382769,1350
42445917,18582
427840998,1642
427841062,2099
42430060,3166
42443009,5972
42440153,8991
42432580,9413
42432693,11473
42443556,11707
42439823,32173
42439073,20630
42430828,37119
11062719791,12561
42430824,12640
42430818,11708
42430813,11771
42430811,13510
4320028826,12284
42430805,12260
42433822,2879
42451987,1316
42446902,1919
42429700,2602
12989986305,4025
4597668036,24392
42434355,4572
4597668023,18881
4597668035,18688
42439070,9292
42449067,8842
42430857,10575
42421877,13151
42437949,11645
42433354,6362
3584752508,6641
42433281,11021
1692433942,10130
1692433941,11571
1692433940,13675
42428705,2867
42428701,2830
42428695,2943
42428689,2942
42422006,3037
42428682,3082
42428678,3239
42428670,3807
42421809,3910
42428663,4279
42428661,4268
42428657,4344
42421775,4120
42428653,9432
42428065,4863
42428648,5316
42428645,5021
1061531566,2882
42436541,4401
42456578,4000
42448729,3092
4597668031,7409
42445885,4460
42428321,13234
42431556,13659
5730369220,2366
246580466,4212
246579753,5096
373903786,5108
11049420899,4883
8288270047,4865
11027912161,4646
402480678,4647
3874650232,5780
42454328,12036
42454325,14110
4557517554,13918
42436439,25116
596776041,2553
42454192,4462
42445736,4411
42447149,2311
42436475,4958
42445225,5606
42429680,5595
42429685,7622
42428283,9735
42443561,10899
4207913309,10069
9807801426,2837
4163883691,3267
42439399,2872
42447115,3007
42434087,17630
42449954,16234
42448813,15903
42438891,16357
6680686184,4690
42435716,12567
42440330,11584
1692450029,11656
42434358,4861
42434357,5141
1061531504,2602
42436374,2689
42436377,2161
42436381,2239
42436384,2690
42436390,2009
42436393,5192
42444051,17571
42443674,12102
42427386,11617
42444916,12134
42429663,11649
42439280,14070
246901366,569
246923513,1500
42451375,1722
42451370,2042
246911576,1942
3574648569,1948
588593059,1896
4149748671,1903
9181525951,1999
42446640,2076
42452314,3576
42429378,18110
42432211,17789
42454742,2185
42436427,7460
42436423,7526
42436414,6655
42436149,2751
42459436,1666
42440943,3047
42436582,8296
42440325,1464
42439286,7343
42429664,5485
42454381,6308
42427390,6358
42443676,5582
42434285,5557
42428015,5586
42430378,8498
42430384,16382
42443811,5603
42446994,9942
42440459,8493
596775876,8378
596775870,8573
596775867,9597
42457476,8347
42434077,7724
42443810,5825
42444043,22914
42430643,3415
42448735,4070
42450037,3520
42452812,3951
42429412,3531
42455200,7147
1919595928,3531
1919595927,4624
42439533,5752
1692433935,9936
42439537,9940
42439542,8140
42436796,8108
42452396,10197
42433587,10106
42449817,4752
42433298,5719
42433356,4480
42456303,9681
42449045,9750
42430861,7418
42455026,7070
42446521,7514
42428489,23196
42446533,18887
42436941,20049
42440729,22172
42431459,19197
42449890,19258
42436586,15719
4138911201,13852
42449918,15493
42449926,14261
42449928,14405
42434959,13483
42449932,13968
42449685,13499
42449938,15043
42445661,12752
11337295601,12646
12463559806,17023
42431681,5026
596776052,3412
596775985,4115
42459114,7694
42429974,7920
42431652,7885
42455666,10165
42447230,8909
42437428,8065
42431677,7249
42455694,7201
42443042,2759
