,count
4886250352,3289
42436716,1133
42433565,3147
42443280,5230
42421769,3751
4163883691,2923
42452812,3848
596776144,2309
42431681,5239
596788016,4354
42439559,6749
42439563,5662
42447126,2740
42439399,2688
42447115,2832
42436911,4211
42446455,4241
42454679,4309
42443000,4881
5550244687,4927
42431659,5092
42429981,5393
42442963,5742
42436527,7146
6176483595,4458
3785585954,3859
1775176473,3868
42424089,6258
42442961,4945
4137021568,1162
42434845,6198
42434842,1538
42434839,1315
42438779,521
42438781,541
42424851,8490
7106818626,12275
7106818623,7816
7106818627,7584
42421993,7248
42431447,7612
42435316,7326
42435336,5709
42435346,4281
4016646214,4143
42433743,3297
2141026499,3293
2141026500,2494
2141026525,2337
2141026544,2285
2141026523,2394
2141026546,2149
1705982030,3180
2141026506,3660
3099327952,1912
42437177,2133
42453220,747
42452564,679
42453226,624
42429727,507
2099150501,288
42435516,4592
596775979,5500
596776032,6133
596775963,3967
596775998,4218
596775985,4399
596775930,5423
596775919,7600
42440850,1347
42436475,5092
42445225,5812
42429680,5813
42455693,5850
42431671,5790
42437423,6332
42428653,9153
1061531454,5188
11655721345,2416
11655721348,2559
11655721350,2537
42448714,19311
5137747688,17374
589100267,17079
42422509,16941
42457925,16783
370913779,21167
370914027,21167
13238997597,25651
370924957,28174
371188750,28172
3785575833,15898
42427965,18097
42427968,8592
42438674,5612
9971300853,1457
427842070,1584
42444964,10588
42428315,14192
42445404,3485
42428493,24874
42438784,12917
42436139,869
42436142,2479
42437749,4498
42437753,324
42431992,318
42437124,443
42437755,442
496707003,412
3212472978,510
6330018917,343
42435922,128
596775914,18179
596775876,8996
596775870,9197
42457476,8805
42443811,5900
42434077,8170
42444954,10819
42456049,15591
246858654,2372
4207802391,2208
1772136801,1984
1772136810,1817
3914862593,1785
588546891,3087
42444479,2664
42444480,1437
11002109566,2030
42431889,1808
42431898,2446
42430269,19217
42439272,12655
42428313,13578
10594155706,12498
42434175,1965
42443042,2423
42443040,2409
42443032,4399
42443029,5126
42443268,3417
42428790,1131
42428770,1707
595314103,1747
7004393049,1779
42428760,1329
42421745,3250
11803957852,1788
42428746,1831
42428742,1953
42428737,2211
42428728,2426
42428725,2541
42428723,2196
1061531847,2028
6207264908,9555
42431563,5069
4779073679,11181
4779073680,2777
42424025,10301
371209940,5708
371239958,5708
42425681,5691
6266152785,5681
5920675990,4993
